talb_code,talb_name,talb_short_name,talb_match_name,regc_code,regc_name,regc_short_name,regc_match_name,regc_match_perc,island
07200,Clutha District,Clutha,clutha,14,Otago Region,Otago,otago,1,South Island
07300,Southland District,Southland,southland,15,Southland Region,Southland,southland,1,South Island
07400,Gore District,Gore,gore,15,Southland Region,Southland,southland,1,South Island
07500,Invercargill City,Invercargill,invercargill,15,Southland Region,Southland,southland,1,South Island
07601,Rodney Local Board Area,Rodney,rodney,NA,NA,NA,NA,NA,NA
07602,Hibiscus and Bays Local Board Area,Hibiscus and Bays,hibiscus and bays,NA,NA,NA,NA,NA,NA
07603,Upper Harbour Local Board Area,Upper Harbour,upper harbour,NA,NA,NA,NA,NA,NA
07604,Kaipātiki Local Board Area,Kaipātiki,kaipatiki,NA,NA,NA,NA,NA,NA
07605,Devonport-Takapuna Local Board Area,Devonport-Takapuna,devonport takapuna,NA,NA,NA,NA,NA,NA
07606,Henderson-Massey Local Board Area,Henderson-Massey,henderson massey,NA,NA,NA,NA,NA,NA
07607,Waitākere Ranges Local Board Area,Waitākere Ranges,waitakere ranges,NA,NA,NA,NA,NA,NA
07608,Aotea/Great Barrier Local Board Area,Aotea/Great Barrier,aotea/great barrier,NA,NA,NA,NA,NA,NA
07609,Waiheke Local Board Area,Waiheke,waiheke,NA,NA,NA,NA,NA,NA
07610,Waitematā Local Board Area,Waitematā,waitemata,NA,NA,NA,NA,NA,NA
07611,Whau Local Board Area,Whau,whau,NA,NA,NA,NA,NA,NA
07612,Albert-Eden Local Board Area,Albert-Eden,albert eden,NA,NA,NA,NA,NA,NA
07613,Puketāpapa Local Board Area,Puketāpapa,puketapapa,NA,NA,NA,NA,NA,NA
07614,Ōrākei Local Board Area,Ōrākei,orakei,NA,NA,NA,NA,NA,NA
07615,Maungakiekie-Tāmaki Local Board Area,Maungakiekie-Tāmaki,maungakiekie tamaki,NA,NA,NA,NA,NA,NA
07616,Howick Local Board Area,Howick,howick,NA,NA,NA,NA,NA,NA
07617,Māngere-Ōtāhuhu Local Board Area,Māngere-Ōtāhuhu,mangere otahuhu,NA,NA,NA,NA,NA,NA
07618,Ōtara-Papatoetoe Local Board Area,Ōtara-Papatoetoe,otara papatoetoe,NA,NA,NA,NA,NA,NA
07619,Manurewa Local Board Area,Manurewa,manurewa,NA,NA,NA,NA,NA,NA
07620,Papakura Local Board Area,Papakura,papakura,NA,NA,NA,NA,NA,NA
07621,Franklin Local Board Area,Franklin,franklin,NA,NA,NA,NA,NA,NA
99900,Area Outside Territorial Authority,Area Outside Territorial Authority,area outside territorial authority,NA,NA,NA,NA,NA,NA
09900,New Zealand,New Zealand,new zealand,99,New Zealand,New Zealand,new zealand,NA,New Zealand
